Id,Order,Priority,Summary,Links+,Deliverable type,Flywheel Stage,Product Area,Audience,Target Archetype,Technical level,HotlistIds,Assignee,Status,ComponentPath,Reporter
318241433,,P2,Coordinate with panelists for Data Teams Summit,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318241479,,P2,Write deck for Startup School,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318241516,,P2,Outline Vector Store Blog,,,,,,,,2024.06,nelsonjeffrey,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318241536,,P2,Startup School: Live Presentation,https://cloudonair.withgoogle.com/events/startup-school-ai?talk=emea-amer-talk4 • https://www.youtube.com/live/418HvfM8p-U,Presentation,Expand,Data & Analytics,,,,dr4dc-roadmap • 2024.01 • AI (Other),nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318241569,,P2,Write up questions for Data Teams Summit,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318241603,,P2,Present: Data Teams Summit Panel Moderation,https://datateamssummit.com/,Presentation,Advocate,Data & Analytics,,,,dr4dc-roadmap • 2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318241950,,P2,Write demo for Startup School,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318450976,,P2,Next 2024 - Agents Demo Writeup,,,,,,,,2024.06,nelsonjeffrey,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
318500314,,P1,Followup: IAM audit discussions,,Empathy Session,,Security,,,,DEE Infra • 🎂 January 2024 • Security • 🪸June 2024,sitalakshmi,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sitalakshmi
318505617,,P2,Qwiklab  Building an LLM and RAG-based chat application using AlloyDB AI and LangChain,https://www.cloudskillsboost.google/catalog_lab/31117 • https://www.cloudskillsboost.google/catalog_lab/31117,Lab,,Data & Analytics,,,,2024.01,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
